Filename                                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
consensus\src\processes\reachability\tree.rs                                             160                42    73.75%           4                 1    75.00%          75                12    84.00%           0                 0         -
consensus\src\processes\relations.rs                                                     359                20    94.43%          12                 0   100.00%         130                 3    97.69%           0                 0         -
consensus\src\processes\sync\mod.rs                                                      248               189    23.79%          12                 8    33.33%         144               101    29.86%           0                 0         -
consensus\src\processes\transaction_validator\mod.rs                                      64                 1    98.44%           8                 0   100.00%          79                 0   100.00%           0                 0         -
consensus\src\processes\transaction_validator\tx_validation_in_header_context.rs          45                 2    95.56%           4                 0   100.00%          36                 2    94.44%           0                 0         -
consensus\src\processes\transaction_validator\tx_validation_in_isolation.rs             1172                79    93.26%          70                 7    90.00%         633                42    93.36%           0                 0         -
consensus\src\processes\transaction_validator\tx_validation_in_utxo_context.rs           827               160    80.65%          54                15    72.22%         456                69    84.87%           0                 0         -
consensus\src\processes\traversal_manager.rs                                             139                42    69.78%           6                 2    66.67%          96                29    69.79%           0                 0         -
consensus\src\processes\utils.rs                                                          11                11     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
consensus\src\processes\window.rs                                                        433                52    87.99%          29                 2    93.10%         289                26    91.00%           0                 0         -
consensus\src\svm_alt.rs                                                                 172                 0   100.00%           9                 0   100.00%          66                 0   100.00%           0                 0         -
consensus\src\svm_da.rs                                                                  208                 2    99.04%          13                 0   100.00%         122                 2    98.36%           0                 0         -
consensus\src\svm_vrf.rs                                                                 216                 0   100.00%          12                 0   100.00%          85                 0   100.00%           0                 0         -
consensus\src\test_helpers.rs                                                            225               135    40.00%          25                16    36.00%         128                74    42.19%           0                 0         -
consensus\wasm\src\error.rs                                                               28                28     0.00%           7                 7     0.00%          23                23     0.00%           0                 0         -
core\src\assert.rs                                                                        21                21     0.00%           3                 3     0.00%          13                13     0.00%           0                 0         -
core\src\core.rs                                                                          75                12    84.00%           9                 2    77.78%          46                 8    82.61%           0                 0         -
core\src\log\appender.rs                                                                 108                29    73.15%           7                 0   100.00%          56                12    78.57%           0                 0         -
core\src\log\logger.rs                                                                   150                36    76.00%          20                 5    75.00%          84                23    72.62%           0                 0         -
core\src\log\mod.rs                                                                       95                 0   100.00%           6                 0   100.00%          35                 0   100.00%           0                 0         -
core\src\panic.rs                                                                         37                31    16.22%           2                 1    50.00%          19                15    21.05%           0                 0         -
core\src\signals.rs                                                                       30                30     0.00%           3                 3     0.00%          20                20     0.00%           0                 0         -
core\src\sophisd_env.rs                                                                    6                 3    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
core\src\task\runtime.rs                                                                 132                17    87.12%          18                 1    94.44%          88                 5    94.32%           0                 0         -
core\src\task\tick.rs                                                                     41                 3    92.68%          11                 1    90.91%          30                 3    90.00%           0                 0         -
core\src\time.rs                                                                          22                 8    63.64%           5                 2    60.00%          18                 7    61.11%           0                 0         -
crypto\addresses\src\bech32.rs                                                           176                 3    98.30%          10                 0   100.00%         104                 1    99.04%           0                 0         -
crypto\addresses\src\lib.rs                                                              406               148    63.55%          36                16    55.56%         221                93    57.92%           0                 0         -
crypto\addresses\src\wasm.rs                                                              73                73     0.00%          13                13     0.00%          45                45     0.00%           0                 0         -
crypto\hashes\src\hashers.rs                                                             117                16    86.32%          16                 3    81.25%         112                11    90.18%           0                 0         -
crypto\hashes\src\lib.rs                                                                 302               105    65.23%          55                24    56.36%         175                66    62.29%           0                 0         -
crypto\hashes\src\pow_hashers.rs                                                         104                 0   100.00%           6                 0   100.00%          47                 0   100.00%           0                 0         -
crypto\merkle\src\lib.rs                                                                 385                 8    97.92%          21                 1    95.24%         163                 6    96.32%           0                 0         -
crypto\muhash\src\lib.rs                                                                 307                 0   100.00%          25                 0   100.00%         165                 0   100.00%           0                 0         -
crypto\txscript\src\caches.rs                                                             65                20    69.23%           9                 3    66.67%          45                14    68.89%           0                 0         -
crypto\txscript\src\data_stack.rs                                                        751                40    94.67%          37                 7    81.08%         418                29    93.06%           0                 0         -
crypto\txscript\src\error.rs                                                              35                35     0.00%           9                 9     0.00%          29                29     0.00%           0                 0         -
crypto\txscript\src\lib.rs                                                              1015               307    69.75%          56                15    73.21%         715               158    77.90%           0                 0         -
crypto\txscript\src\opcodes\macros.rs                                                    148                36    75.68%          12                 2    83.33%          78                16    79.49%           0                 0         -
crypto\txscript\src\opcodes\mod.rs                                                      3744               236    93.70%          97                18    81.44%        2328               157    93.26%           0                 0         -
crypto\txscript\src\runtime_sig_op_counter.rs                                             20                10    50.00%           5                 3    40.00%          16                 9    43.75%           0                 0         -
crypto\txscript\src\script_builder.rs                                                    508                17    96.65%          27                 3    88.89%         350                 9    97.43%           0                 0         -
crypto\txscript\src\script_class.rs                                                       76                24    68.42%          11                 6    45.45%          65                19    70.77%           0                 0         -
crypto\txscript\src\standard.rs                                                          222                18    91.89%          11                 1    90.91%         108                 9    91.67%           0                 0         -
crypto\txscript\src\standard\multisig.rs                                                  50                18    64.00%           4                 0   100.00%          29                 8    72.41%           0                 0         -
database\src\access.rs                                                                   478                45    90.59%          24                 1    95.83%         215                14    93.49%           0                 0         -
database\src\cache.rs                                                                    173                 7    95.95%          15                 0   100.00%         111                 7    93.69%           0                 0         -
database\src\db.rs                                                                        24                18    25.00%           4                 2    50.00%          17                11    35.29%           0                 0         -
database\src\db\conn_builder.rs                                                          137                81    40.88%          16                 8    50.00%         116                60    48.28%           0                 0         -
database\src\db\rocksdb_preset.rs                                                        170               124    27.06%           9                 5    44.44%          85                62    27.06%           0                 0         -
database\src\errors.rs                                                                    31                 6    80.65%           4                 0   100.00%          18                 2    88.89%           0                 0         -
database\src\item.rs                                                                     151                23    84.77%          10                 0   100.00%          86                 4    95.35%           0                 0         -
database\src\key.rs                                                                      156                13    91.67%          10                 1    90.00%          79                 5    93.67%           0                 0         -
database\src\registry.rs                                                                  23                 0   100.00%           5                 0   100.00%          17                 0   100.00%           0                 0         -
database\src\set_access.rs                                                               259                21    91.89%          24                 1    95.83%         120                 6    95.00%           0                 0         -
database\src\utils.rs                                                                     44                 4    90.91%           4                 1    75.00%          28                 3    89.29%           0                 0         -
database\src\writer.rs                                                                    74                 9    87.84%          15                 3    80.00%          70                14    80.00%           0                 0         -
dilithium-wallet\src\main.rs                                                            2313              2313     0.00%          72                72     0.00%        1142              1142     0.00%           0                 0         -
indexes\core\src\indexed_utxos.rs                                                         11                 4    63.64%           3                 1    66.67%           9                 3    66.67%           0                 0         -
indexes\core\src\notification.rs                                                         101                92     8.91%          10                 8    20.00%          69                63     8.70%           0                 0         -
indexes\processor\src\processor.rs                                                       263                16    93.92%          16                 0   100.00%         145                12    91.72%           0                 0         -
indexes\processor\src\service.rs                                                          90                 3    96.67%           9                 0   100.00%          56                 3    94.64%           0                 0         -
indexes\utxoindex\src\core\api\mod.rs                                                     39                 0   100.00%          13                 0   100.00%          26                 0   100.00%           0                 0         -
indexes\utxoindex\src\index.rs                                                           432                38    91.20%          13                 3    76.92%         200                14    93.00%           0                 0         -
indexes\utxoindex\src\stores\indexed_utxos.rs                                            252                47    81.35%          24                 6    75.00%         135                25    81.48%           0                 0         -
indexes\utxoindex\src\stores\store_manager.rs                                            115                31    73.04%          11                 2    81.82%          70                14    80.00%           0                 0         -
indexes\utxoindex\src\stores\supply.rs                                                    37                 0   100.00%           6                 0   100.00%          20                 0   100.00%           0                 0         -
indexes\utxoindex\src\stores\tips.rs                                                      25                 0   100.00%           4                 0   100.00%          12                 0   100.00%           0                 0         -
indexes\utxoindex\src\testutils\virtual_change_emulator.rs                               108                 4    96.30%          10                 1    90.00%          59                 4    93.22%           0                 0         -
indexes\utxoindex\src\update_container.rs                                                 53                 0   100.00%           4                 0   100.00%          42                 0   100.00%           0                 0         -
math\src\int.rs                                                                          120                24    80.00%          13                 5    61.54%          70                19    72.86%           0                 0         -
math\src\lib.rs                                                                           96                17    82.29%          12                 5    58.33%          93                15    83.87%           0                 0         -
math\src\uint.rs                                                                        1357               305    77.52%         120                45    62.50%         731               168    77.02%           0                 0         -
metrics\core\src\data.rs                                                                 697               697     0.00%          27                27     0.00%         504               504     0.00%           0                 0         -
metrics\core\src\error.rs                                                                  9                 9     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
metrics\core\src\lib.rs                                                                  111               111     0.00%          13                13     0.00%          70                70     0.00%           0                 0         -
metrics\perf_monitor\src\builder.rs                                                       41                10    75.61%           9                 2    77.78%          50                16    68.00%           0                 0         -
metrics\perf_monitor\src\counters.rs                                                     107                41    61.68%           7                 5    28.57%          49                25    48.98%           0                 0         -
metrics\perf_monitor\src\lib.rs                                                          163                21    87.12%          17                 4    76.47%          97                14    85.57%           0                 0         -
miner\src\donate.rs                                                                      402                 5    98.76%          27                 0   100.00%         192                 0   100.00%           0                 0         -
miner\src\main.rs                                                                        311               311     0.00%           8                 8     0.00%         250               250     0.00%           0                 0         -
mining\errors\src\mempool.rs                                                              35                21    40.00%           3                 0   100.00%          23                11    52.17%           0                 0         -
